"CUSTOMER_ID","CIRCUIT_DESIGNATION","ROUTER_NAME","PORT","POP","COUNTRY"
"12719","GM2-SVQ-NP4","gin-svq-tcore1","xe-2/1/2","GM2","SINGAPORE"
"26935","OPE-TV2-NP1","gin-tv2-tcore1","ge-11/2/6","OPE","JAPAN"
"27472","06R-SVQ-NP1","gin-svq-tcore1","xe-0/2/1","06R","SINGAPORE"
"27633","2ZV-HK2-NP1","gin-hk2-sw1","2/30","2ZV","CHINA"
"22253","8ZN-TV2-NP1","gin-tv2-tcore1","xe-0/3/1","8ZN","JAPAN"
"25670","9XN-H71-NP2","gin-h71-core1","GigabitEthernet2/1/0","9XN","HONG KONG"
"26028","0JC-HK2-NP3","gin-hk2-tcore1","ge-9/2/0","0JC","MALAYSIA"
"26028","0JC-HK2-NP2","gin-hk2-tcore1","ge-10/3/4","0JC","MALAYSIA"
"26028","0JC-HK2-NP1","gin-hk2-tcore1","ge-10/3/3","0JC","MALAYSIA"
"27759","IJ9-LDN-NP3","gin-ldn-core4","POS3/3/3","IJ9","U. K."
"27759","IJ9-LDN-NP2","gin-ldn-core4","POS3/3/1","IJ9","U. K."
"21005","9RN-KLT-NP1","gin-klt-tcore2","ge-0/0/6","9RN","SOUTH AFRICA"
"29275","O9O-SVW-NP1","gin-7sr-sw2","FastEthernet1/0/13","O9O","SINGAPORE"
"24388","A1Z-PDI-NP1","gin-pdi-tcore1","xe-0/1/1","A1Z","UNITED STATES"
"23334","46P-SVW-NP1","gin-svw-tcore2","xe-9/2/0","46P","SINGAPORE"
"25971","0NE-SV1-NP2","gin-sv1-mse2","GigabitEthernet2/5","0NE","UNITED STATES"
"25971","0NE-SV1-NP1","gin-sv1-mse1","GigabitEthernet2/3","0NE","UNITED STATES"
"23694","FR0-RG5-NP5","gin-fr0-tcore1","xe-11/2/5","FR0","GERMANY"
"31992","FR0-UY5-NP7","gin-fr0-tcore1","xe-11/0/4","FR0","GERMANY"
"27429","FR0-Q1X-NP1","gin-fr0-tcore1","xe-10/0/7","FR0","GERMANY"
"23694","FR0-RG5-NP8","gin-fr0-tcore1","xe-8/2/3","FR0","GERMANY"
"23694","FR0-RG5-NP7","gin-fr0-tcore1","xe-7/2/3","FR0","GERMANY"
"23694","FR0-RG5-NP6","gin-fr0-tcore1","xe-5/2/3","FR0","GERMANY"
"23694","FR0-RG5-NP4","gin-fr0-tcore1","xe-3/2/3","FR0","GERMANY"
"23694","FR0-RG5-NP3","gin-fr0-tcore1","xe-2/2/3","FR0","GERMANY"
"23694","FR0-RG5-NP2","gin-fr0-tcore1","xe-1/2/3","FR0","GERMANY"
"23694","FR0-RG5-NP1","gin-fr0-tcore1","xe-0/2/3","FR0","GERMANY"
"20051","FR0-FRW-NP1","gin-fr1-thar1","ge-0/2/9","FR0","GERMANY"
"26627","FR0-XZ7-NP1","gin-fr1-thar1","ge-0/3/7","FR0","GERMANY"
"30070","FR0-UY5-NP13","gin-fr0-tcore1","xe-7/0/3","FR0","GERMANY"
"30070","FR0-UY5-NP14","gin-fr0-tcore1","xe-8/0/3","FR0","GERMANY"
"31992","FR0-UY5-NP2","gin-fr0-tcore1","xe-0/1/3","FR0","GERMANY"
"31992","FR0-UY5-NP3","gin-fr0-tcore1","xe-1/1/3","FR0","GERMANY"
"31992","FR0-UY5-NP4","gin-fr0-tcore1","xe-2/1/3","FR0","GERMANY"
"31992","FR0-UY5-NP5","gin-fr0-tcore1","xe-3/1/3","FR0","GERMANY"
"31992","FR0-UY5-NP12","gin-fr0-tcore1","xe-1/3/3","FR0","GERMANY"
"31992","FR0-UY5-NP11","gin-fr0-tcore1","xe-3/3/3","FR0","GERMANY"
"31992","FR0-UY5-NP10","gin-fr0-tcore1","xe-3/0/3","FR0","GERMANY"
"31992","FR0-UY5-NP9","gin-fr0-tcore1","xe-2/0/3","FR0","GERMANY"
"31992","FR0-UY5-NP8","gin-fr0-tcore1","xe-5/0/3","FR0","GERMANY"
"31992","FR0-UY5-NP6","gin-fr0-tcore1","xe-1/0/3","FR0","GERMANY"
"31992","FR0-UY5-NP1","gin-fr0-tcore1","xe-0/0/3","FR0","GERMANY"
"27209","FR0-QJY-NP1","gin-fr0-tcore1","xe-1/1/2","FR0","GERMANY"
"19240","FR0-GFR-NP2","gin-fr0-tcore1","xe-2/0/1","FR0","GERMANY"
"19240","FR0-GFR-NP1","gin-fr0-tcore1","xe-1/2/2","FR0","GERMANY"
"6464","54H-HK2-NP1","gin-hk2-core3","FastEthernet6/2/6","54H","HONG KONG"
"23037","1ZV-QBY-NP1","gin-qby-sw2","FastEthernet1/0/19","1ZV","PHILIPPINES"
"30014","1PH-L78-NP3","gin-l78-tcore1","xe-5/2/1","1PH","U. K."
"30014","1PH-L78-NP2","gin-l78-tcore1","xe-5/2/2","1PH","U. K."
"26013","2YO-HK2-NP1","gin-hk2-tcore1","xe-1/2/2","2YO","HONG KONG"
"19478","IFR-PVU-NP5","gin-pvu-tcore1","xe-10/3/0","IFR","FRANCE"
"19478","IFR-PVU-NP4","gin-pvu-tcore1","xe-10/3/1","IFR","FRANCE"
"19478","IFR-PVU-NP3","gin-pvu-tcore1","xe-10/3/2","IFR","FRANCE"
"19478","IFR-PVU-NP2","gin-pvu-tcore1","xe-7/3/2","IFR","FRANCE"
"19478","IFR-PVU-NP1","gin-pvu-tcore1","xe-7/3/1","IFR","FRANCE"
"29906","3FH-HK2-NP1","gin-hk2-core3","FastEthernet6/2/5","3FH","HONG KONG"
"7063","78D-NTO-NP1","gin-nto-tcore1","xe-4/0/2","78D","UNITED STATES"
